Name,Team,PA,O-Swing% (mlb),Z-Swing% (mlb),Swing% (sc),O-Contact% (mlb),Z-Contact% (mlb),Contact% (sc),Zone% (mlb),Pace,BatSpd,BlastSw%,NameASCII,PlayerId,MLBAMID
"Oneil Cruz","PIT",544,0.28132579,0.58216433,0.41565996,0.50287356,0.78313253,0.67814855,0.44653244,18.45568114,78.78915800733496,0.16748166,"Oneil Cruz",21711,665833
"Junior Caminero","TBR",653,0.32154088,0.69476268,0.50441059,0.63325183,0.83274441,0.76788553,0.48997594,18.59606987,78.53918434633027,0.17247706,"Junior Caminero",28163,691406
"Jordan Walker","STL",396,0.3410475,0.66944444,0.4944841,0.425,0.80497925,0.66535433,0.46722907,18.20508326,78.06925906523324,0.13556851,"Jordan Walker",27475,691023
"Jo Adell","LAA",573,0.32642487,0.74269557,0.52546192,0.5,0.84898477,0.73584906,0.47814331,19.18376068,77.61388687015504,0.14437984,"Jo Adell",20220,666176
"Kyle Schwarber","PHI",724,0.215,0.6408499,0.41811049,0.44476744,0.78181818,0.69116497,0.47695325,19.06475129,77.3376971954426,0.17440841,"Kyle Schwarber",16478,656941
"Nick Kurtz","ATH",489,0.22233607,0.6390593,0.43091095,0.44239631,0.7488,0.66983373,0.50051177,17.86466165,77.21119399794802,0.14774282,"Nick Kurtz",35110,701762
"Aaron Judge","NYY",679,0.22519913,0.6704,0.43671608,0.39549839,0.78042959,0.67624021,0.47510452,19.01612091,76.99219519704434,0.16945813,"Aaron Judge",15640,592450
"Vladimir Guerrero Jr.","TOR",680,0.21445979,0.62313139,0.42206235,0.64015152,0.85479798,0.80113636,0.50799361,18.82699725,76.66446703074433,0.2038835,"Vladimir Guerrero Jr.",19611,665489
"Matt Wallner","MIN",392,0.28385417,0.72045743,0.50482315,0.46330275,0.74603175,0.66751592,0.50610932,18.10879025,76.56715593434343,0.10966811,"Matt Wallner",26466,670242
"Julio Rodríguez","SEA",710,0.3592387,0.751417,0.55328526,0.55408389,0.82112069,0.73352643,0.49479167,19.04941044,76.43733240511551,0.14438944,"Julio Rodriguez",23697,677594
"Ronald Acuña Jr.","ATL",412,0.23165138,0.69275029,0.46180356,0.60891089,0.76744186,0.72761194,0.49913843,18.66013564,76.41426692892503,0.14144272,"Ronald Acuna Jr.",18401,660670
"James Wood","WSN",689,0.24263675,0.5578371,0.40214756,0.45086705,0.79018405,0.68906115,0.50606166,17.80620155,76.04559948979592,0.15937804,"James Wood",29518,695578
"Willson Contreras","STL",563,0.30131827,0.66120219,0.48425926,0.50625,0.83746556,0.73613767,0.50833333,18.96035242,75.99322522948164,0.13174946,"Willson Contreras",11609,575929
"Christopher Morel","TBR",305,0.31096563,0.78031634,0.53728814,0.41578947,0.72972973,0.63564669,0.48220339,19.15898618,75.96274581826401,0.10488246,"Christopher Morel",21897,666624
"Addison Barger","TOR",502,0.31052632,0.66268657,0.4915601,0.57966102,0.84534535,0.76378772,0.5140665,18.42570836,75.92801991959064,0.15438596,"Addison Barger",24598,680718
"Austin Riley","ATL",447,0.27719298,0.72222222,0.50977108,0.51054852,0.80029586,0.72508215,0.52261307,18.68208955,75.8871044921875,0.13875,"Austin Riley",18360,663586
"Jesús Sánchez","- - -",497,0.30516899,0.69139785,0.49070248,0.57003257,0.83825816,0.75157895,0.4803719,19.41422594,75.85115816056296,0.14043584,"Jesus Sanchez",19913,660821
"Shohei Ohtani","LAD",727,0.26029216,0.66077999,0.45026178,0.49234694,0.76837416,0.68449612,0.47434555,18.15058275,75.84886994125327,0.17841601,"Shohei Ohtani",19755,660271
"Luis Robert Jr.","CHW",431,0.3245614,0.7630854,0.53346457,0.5019305,0.79963899,0.70479705,0.47637795,18.54113346,75.61304352524205,0.1175657,"Luis Robert Jr.",20043,673357
"Riley Greene","DET",655,0.31222057,0.73607038,0.52586844,0.54653938,0.79482072,0.72171469,0.50406504,18.57701711,75.6062313247012,0.10438247,"Riley Greene",25976,682985
"Gunnar Henderson","BAL",651,0.27627389,0.67361668,0.47423092,0.55619597,0.85595238,0.7683235,0.49820216,18.5161987,75.34072366870876,0.15739868,"Gunnar Henderson",26289,683002
"Drake Baldwin","ATL",446,0.287687,0.70034052,0.49542857,0.7,0.88330632,0.83044983,0.50342857,18.33281734,75.30223228631105,0.15552699,"Drake Baldwin",31539,686948
"Pete Alonso","NYM",709,0.27394366,0.65681327,0.46312789,0.59897172,0.84302964,0.77,0.49412184,18.92812946,75.25677818843778,0.17210944,"Pete Alonso",19251,624413
"Cal Raleigh","SEA",705,0.31761624,0.75038285,0.51711966,0.51340206,0.8122449,0.71331058,0.46099541,19.55430183,75.24004241419657,0.12480499,"Cal Raleigh",21534,663728
"Agustín Ramírez","MIA",585,0.3202847,0.7004008,0.49905749,0.54444444,0.88125894,0.7667611,0.47031103,18.41503268,75.2301669973545,0.16402116,"Agustin Ramirez",26546,682663
"Ryan Mountcastle","BAL",357,0.39617084,0.75482912,0.57470414,0.52788104,0.80511811,0.70913771,0.49778107,20.01513623,75.21825747282608,0.10434783,"Ryan Mountcastle",18373,663624
"Roman Anthony","BOS",303,0.19969743,0.55948553,0.37412315,0.43181818,0.82183908,0.71458333,0.48480125,18.26851852,75.1468655873494,0.16144578,"Roman Anthony",31812,701350
"Gabriel Arias","CLE",471,0.38834951,0.76878613,0.57198661,0.45,0.71879699,0.62439024,0.48270089,18.62909368,75.07646130625686,0.09879254,"Gabriel Arias",22563,672356
"Byron Buxton","MIN",542,0.29458128,0.74136229,0.51775148,0.43143813,0.81091877,0.70285714,0.4995069,18.96361186,75.03483003211991,0.14453961,"Byron Buxton",14161,621439
"Kyle Stowers","MIA",457,0.27876631,0.79171461,0.53913551,0.47659574,0.7747093,0.69880823,0.50759346,17.60855529,75.0032824017199,0.12162162,"Kyle Stowers",26151,669065
"Matt Chapman","SFG",535,0.20018536,0.63773251,0.42391304,0.58333333,0.83055556,0.77350427,0.51132246,18.21621622,74.95185926122574,0.13713592,"Matt Chapman",16505,656305
"Brett Baty","NYM",432,0.24731183,0.66375546,0.46491728,0.55555556,0.83388158,0.76319018,0.5225328,18.90038023,74.8015221844491,0.12831241,"Brett Baty",26123,683146
"Jarren Duran","BOS",696,0.31134173,0.64,0.47103659,0.48333333,0.86887255,0.73786408,0.48589939,18.66387435,74.78022505733945,0.14220183,"Jarren Duran",24617,680776
"Gavin Sheets","SDP",545,0.3122398,0.59461967,0.44580957,0.64266667,0.86427457,0.78248031,0.47301448,18.54761905,74.77680642740175,0.14082969,"Gavin Sheets",19901,657757
"Rowdy Tellez","- - -",312,0.30250784,0.59259259,0.44867807,0.54404145,0.84895833,0.74696707,0.50388802,19.2254395,74.75059173886139,0.13861386,"Rowdy Tellez",15679,642133
"Corbin Carroll","ARI",642,0.3155834,0.66885246,0.48818582,0.65756824,0.83088235,0.77358491,0.4885863,19.20542005,74.65364342652495,0.14879852,"Corbin Carroll",25878,682998
"Jake Burger","TEX",376,0.39911635,0.71007752,0.55060423,0.50553506,0.84279476,0.71742112,0.48716012,18.90319149,74.64652054398148,0.15432099,"Jake Burger",22275,669394
"Ketel Marte","ARI",556,0.24675325,0.67158309,0.45298329,0.63909774,0.86383602,0.80084299,0.48544153,18.3,74.61646086344787,0.15165877,"Ketel Marte",13613,606466
"Cam Smith","HOU",493,0.29550102,0.66061185,0.48418972,0.49480969,0.83936324,0.7377551,0.51679842,18.47697368,74.49874646892656,0.10508475,"Cam Smith",35108,701358
"Elly De La Cruz","CIN",699,0.28530259,0.64052795,0.45627803,0.49242424,0.80727273,0.70515971,0.4813154,18.85426122,74.4851108033241,0.14127424,"Elly De La Cruz",26668,682829
"Manny Machado","SDP",678,0.29817906,0.69977427,0.49981111,0.57760814,0.83333333,0.75736961,0.50207782,18.86231515,74.47025975738397,0.16540084,"Manny Machado",11493,592518
"Iván Herrera","STL",452,0.25112613,0.64169381,0.44997236,0.57847534,0.86463621,0.78624079,0.50912106,18.33678756,74.39539807076814,0.14651494,"Ivan Herrera",20599,671056
"Hunter Goodman","COL",579,0.36740088,0.75345168,0.54955793,0.47242206,0.82460733,0.70025402,0.47184737,18.87210797,74.38020833333333,0.11497585,"Hunter Goodman",29715,696100
"Bobby Witt Jr.","KCR",687,0.30677291,0.71496815,0.51095181,0.60779221,0.85746102,0.78254092,0.50019912,19.00657895,74.33798530071813,0.15529623,"Bobby Witt Jr.",25764,677951
"Michael Harris II","ATL",641,0.42895928,0.70599251,0.56511735,0.56962025,0.9005305,0.7728013,0.49148642,18.57815566,74.32473934063374,0.1444548,"Michael Harris II",25931,671739
"Joey Bart","PIT",332,0.23206751,0.59463722,0.40297398,0.46666667,0.85145889,0.73431734,0.47137546,19.18063872,74.28699788583509,0.1205074,"Joey Bart",21524,663698
