team,slug,primary,secondary,accent
League,league,#0C2340,#BD3039,#DDEAF0
Arizona Diamondbacks,arizona-diamondbacks,#A71930,#E3D4AD,#000000
Athletics,athletics,#003831,#EFB21E,#FFFFFF
Atlanta Braves,atlanta-braves,#CE1141,#13274F,#EAAA00
Baltimore Orioles,baltimore-orioles,#DF4601,#000000,#FFFFFF
Boston Red Sox,boston-red-sox,#BD3039,#0C2340,#DDEAF0
Chicago Cubs,chicago-cubs,#0E3386,#CC3433,#FFFFFF
Chicago White Sox,chicago-white-sox,#27251F,#C4CED4,#FFFFFF
Cincinnati Reds,cincinnati-reds,#C6011F,#000000,#FFFFFF
Cleveland Guardians,cleveland-guardians,#00385D,#E50022,#FFFFFF
Colorado Rockies,colorado-rockies,#33006F,#C4CED4,#000000
Detroit Tigers,detroit-tigers,#0C2340,#FA4616,#FFFFFF
Houston Astros,houston-astros,#002D62,#EB6E1F,#F4911E
Kansas City Royals,kansas-city-royals,#004687,#BD9B60,#FFFFFF
Los Angeles Angels,los-angeles-angels,#BA0021,#003263,#C4CED4
Los Angeles Dodgers,los-angeles-dodgers,#005A9C,#EF3E42,#FFFFFF
Miami Marlins,miami-marlins,#00A3E0,#EF3340,#000000
Milwaukee Brewers,milwaukee-brewers,#12284B,#FFC52F,#FFFFFF
Minnesota Twins,minnesota-twins,#002B5C,#D31145,#B9975B
New York Mets,new-york-mets,#002D72,#FF5910,#FFFFFF
New York Yankees,new-york-yankees,#0C2340,#C4CED4,#FFFFFF
Philadelphia Phillies,philadelphia-phillies,#E81828,#002D72,#FFFFFF
Pittsburgh Pirates,pittsburgh-pirates,#27251F,#FDB827,#FFFFFF
San Diego Padres,san-diego-padres,#2F241D,#FFC425,#FFFFFF
San Francisco Giants,san-francisco-giants,#FD5A1E,#27251F,#EFD19F
Seattle Mariners,seattle-mariners,#0C2C56,#005C5C,#C4CED4
St. Louis Cardinals,st-louis-cardinals,#C41E3A,#0C2340,#FEDB00
Tampa Bay Rays,tampa-bay-rays,#092C5C,#8FBCE6,#F5D130
Texas Rangers,texas-rangers,#003278,#C0111F,#FFFFFF
Toronto Blue Jays,toronto-blue-jays,#134A8E,#E8291C,#FFFFFF
Washington Nationals,washington-nationals,#AB0003,#14225A,#FFFFFF
